"street","sale_price","sale_date","area","eq_area","atts","beds","baths","car_space","garage","ensuite"
"Elizabeth Street Prospect SA 5082",150000,2001-03-23,579,120," 3 Beds",3,0,0,0,0
"Elizabeth Street Prospect SA 5082",220000,2001-05-16,579,110," 2 Beds, 1 Baths",2,1,0,0,0
"Elizabeth Street Prospect SA 5082",230000,2002-07-03,579,120," 1 Beds, 1 Baths, 1 Lock Up Garages",1,1,0,1,0
"Farrant Street Prospect SA 5082",348500,2003-05-30,617,155," 3 Beds, 1 Baths, 2 Car Spaces, 3 Lock Up Garages",3,1,2,3,0
"Farrant Street Prospect SA 5082",443000,2003-09-15,617,138," 3 Beds",3,0,0,0,0
"Farrant Street Prospect SA 5082",245000,2000-04-19,682,184,"",0,0,0,0,0
"Farrant Street Prospect SA 5082",348000,2002-11-07,617,140," 3 Beds, 1 Baths, 2 Car Spaces",3,1,2,0,0
"Farrant Street Prospect SA 5082",275113,2002-08-22,667,114," 3 Beds, 1 Baths",3,1,0,0,0
"Farrant Street Prospect SA 5082",212000,2000-03-06,682,129," 3 Beds, 2 Baths, 2 Car Spaces",3,2,2,0,0
"Farrant Street Prospect SA 5082",370250,2002-06-07,682,200," 3 Beds, 1 Baths, 1 Car Spaces, 1 Lock Up Garages",3,1,1,1,0
"Farrant Street Prospect SA 5082",275000,2003-09-01,543,114," 3 Beds",3,0,0,0,0
"Farrant Street Prospect SA 5082",290000,2002-06-11,423,142," 3 Beds, 1 Baths, 2 Car Spaces",3,1,2,0,0
"Farrant Street Prospect SA 5082",375000,2003-12-15,985,142,"",0,0,0,0,0
"Flora Terrace Prospect SA 5082",253500,2001-05-23,696,121," 3 Beds",3,0,0,0,0
"Flora Terrace Prospect SA 5082",6e+05,2002-08-19,1184,253," 4 Beds, 1 Baths, 2 Car Spaces, 2 Lock Up Garages",4,1,2,2,0
"Gladstone Road Prospect SA 5082",335000,2003-07-04,402,152," 3 Beds, 2 Baths, 1 Lock Up Garages, 1 Ensuites",3,2,0,1,1
"Gladstone Road Prospect SA 5082",323200,2001-10-12,803,170," 3 Beds, 1 Baths, 2 Car Spaces, 1 Ensuites",3,1,2,0,1
"Gladstone Road Prospect SA 5082",187500,2001-06-29,810,93," 2 Beds, 1 Baths, 2 Car Spaces",2,1,2,0,0
"Gladstone Road Prospect SA 5082",235000,2002-04-05,642,152," 4 Beds, 2 Baths, 1 Car Spaces, 1 Lock Up Garages",4,2,1,1,0
"Gladstone Road Prospect SA 5082",280000,2002-01-11,803,170," 4 Beds",4,0,0,0,0
"Gladstone Road Prospect SA 5082",260000,2000-01-24,427,166," 3 Beds, 2 Baths, 2 Car Spaces, 2 Lock Up Garages",3,2,2,2,0
"Gladstone Road Prospect SA 5082",395000,2003-11-07,492,130," 3 Beds",3,0,0,0,0
"Gladstone Road Prospect SA 5082",216500,2001-02-21,950,120,"",0,0,0,0,0
"Gladstone Road Prospect SA 5082",191500,2000-12-10,950,131,"",0,0,0,0,0
