"street","sale_price","sale_date","area","eq_area","atts","beds","baths","car_space","garage","ensuite"
"Armagh Street Athelstone SA 5076",310000,2007-11-30,201,106," 3 Beds, 1 Baths, 2 Car Spaces, 1 Lock Up Garages, 1 Ensuites",3,1,2,1,1
"Armagh Street Athelstone SA 5076",470000,2007-03-23,735,223," 4 Beds, 2 Baths, 2 Car Spaces, 1 Ensuites",4,2,2,0,1
"Auriel Avenue Athelstone SA 5076",485000,2009-04-07,637,296," 5 Beds, 3 Baths, 3 Car Spaces, 2 Lock Up Garages, 1 Ensuites",5,3,3,2,1
"Aurora Drive Athelstone SA 5076",515000,2008-02-14,784,228," 5 Beds, 3 Baths, 2 Car Spaces, 2 Lock Up Garages, 1 Ensuites",5,3,2,2,1
"Aurora Drive Athelstone SA 5076",380000,2008-11-21,564,132," 3 Beds, 2 Baths, 2 Car Spaces, 2 Lock Up Garages, 1 Ensuites",3,2,2,2,1
"Austin Avenue Athelstone SA 5076",185000,2009-11-20,564,130," 3 Beds, 1 Baths, 1 Car Spaces, 1 Lock Up Garages",3,1,1,1,0
"Aveston Avenue Athelstone SA 5076",541250,2006-08-28,794,317," 3 Beds, 2 Baths, 4 Car Spaces",3,2,4,0,0
"Bellview Drive Athelstone SA 5076",518000,2008-03-31,719,254," 4 Beds, 2 Baths, 2 Car Spaces, 2 Lock Up Garages, 1 Ensuites",4,2,2,2,1
"Bilney Drive Athelstone SA 5076",442500,2009-10-13,429,160," 3 Beds, 2 Baths, 5 Car Spaces, 1 Lock Up Garages, 1 Ensuites",3,2,5,1,1
"Bluegum Court Athelstone SA 5076",450000,2008-01-21,794,161," 3 Beds, 1 Baths, 1 Car Spaces, 1 Ensuites",3,1,1,0,1
"Bluegum Court Athelstone SA 5076",315000,2006-08-16,753,140," 3 Beds, 1 Baths, 1 Car Spaces",3,1,1,0,0
"Bradbrook Road Athelstone SA 5076",269000,2007-04-27,706,99," 3 Beds, 1 Baths, 2 Lock Up Garages",3,1,0,2,0
"Bradbrook Road Athelstone SA 5076",465000,2006-08-24,731,217," 4 Beds, 2 Baths, 2 Car Spaces, 1 Ensuites",4,2,2,0,1
"Bradbrook Road Athelstone SA 5076",370000,2007-11-04,688,123," 4 Beds, 2 Baths, 2 Car Spaces, 1 Lock Up Garages",4,2,2,1,0
