"street","sale_price","sale_date","area","eq_area","atts","beds","baths","car_space","garage","ensuite"
"Eton Avenue Magill SA 5072",230000,2003-10-16,760,90," 3 Beds, 2 Baths, 2 Car Spaces",3,2,2,0,0
"Eton Avenue Magill SA 5072",141131,2000-06-21,845,90,"",0,0,0,0,0
"Eton Avenue Magill SA 5072",374000,2004-06-02,429,206," 3 Beds, 2 Baths, 2 Ensuites",3,2,0,0,2
"Eton Avenue Magill SA 5072",117000,2001-01-04,701,90," 5 Beds, 2 Baths, 2 Car Spaces, 2 Lock Up Garages, 1 Ensuites",5,2,2,2,1
"Eton Avenue Magill SA 5072",170250,2001-06-25,843,111," 3 Beds",3,0,0,0,0
"Eton Avenue Magill SA 5072",194000,2001-05-08,391,150," 2 Ensuites",0,0,0,0,2
"Ferris Street Magill SA 5072",175000,2001-02-26,568,115," 3 Beds, 1 Baths",3,1,0,0,0
"Ferris Street Magill SA 5072",289000,2003-01-03,417,165," 3 Beds, 2 Baths, 2 Car Spaces, 2 Lock Up Garages, 1 Ensuites",3,2,2,2,1
"Ferris Street Magill SA 5072",371000,2006-11-28,352,164," 3 Beds, 2 Baths, 1 Car Spaces, 1 Lock Up Garages, 1 Ensuites",3,2,1,1,1
"First Street Magill SA 5072",257000,2001-01-05,710,210," 4 Beds, 2 Baths, 1 Car Spaces",4,2,1,0,0
"First Street Magill SA 5072",345000,2003-01-07,715,172," 3 Beds",3,0,0,0,0
"First Street Magill SA 5072",555000,2006-08-29,656,237," 3 Beds, 2 Baths, 1 Ensuites",3,2,0,0,1
"First Street Magill SA 5072",187000,2000-12-18,660,102,"",0,0,0,0,0
"First Street Magill SA 5072",370000,2003-02-13,554,100," 4 Beds, 2 Baths, 2 Car Spaces",4,2,2,0,0
"First Street Magill SA 5072",75000,2000-10-20,700,130,"",0,0,0,0,0
"Fisher Street Magill SA 5072",245000,2006-12-18,680,92," 3 Beds, 1 Car Spaces, 1 Lock Up Garages",3,0,1,1,0
"Fisher Street Magill SA 5072",145000,2002-01-25,867,92," 3 Beds, 2 Baths, 2 Car Spaces, 1 Ensuites",3,2,2,0,1
"Fisher Street Magill SA 5072",110000,2000-01-14,900,91," 5 Beds, 2 Baths, 2 Car Spaces, 1 Lock Up Garages, 1 Ensuites",5,2,2,1,1
"Fisher Street Magill SA 5072",215000,2001-01-19,414,142,"",0,0,0,0,0
"Fisher Street Magill SA 5072",216000,2001-02-21,428,142,"",0,0,0,0,0
"Fisher Street Magill SA 5072",225000,2003-04-08,808,90," 4 Beds, 2 Baths, 2 Car Spaces, 2 Lock Up Garages, 1 Ensuites",4,2,2,2,1
"Fisher Street Magill SA 5072",185000,2002-05-27,765,90," 3 Beds, 1 Baths, 1 Lock Up Garages",3,1,0,1,0
"Flora Terrace Magill SA 5072",325000,2006-12-22,397,112," 3 Beds, 1 Baths, 1 Lock Up Garages",3,1,0,1,0
