"street","sale_price","sale_date","area","eq_area","atts","beds","baths","car_space","garage","ensuite"
"Honeysuckle Drive Hope Valley SA 5090",280000,2006-09-15,1260,162," 3 Beds, 1 Baths, 4 Car Spaces",3,1,4,0,0
"Honeysuckle Drive Hope Valley SA 5090",197000,2003-03-13,737,128,"",0,0,0,0,0
"Honeysuckle Drive Hope Valley SA 5090",138250,2001-02-02,710,102," 3 Beds, 1 Car Spaces, 1 Lock Up Garages",3,0,1,1,0
"Honeysuckle Drive Hope Valley SA 5090",215000,2002-10-17,755,145,"",0,0,0,0,0
"Honeysuckle Drive Hope Valley SA 5090",194000,2003-07-18,738,108," 3 Beds, 1 Baths, 2 Car Spaces",3,1,2,0,0
"Honeysuckle Drive Hope Valley SA 5090",235000,2003-11-27,731,99," 3 Beds, 2 Car Spaces",3,0,2,0,0
"Honeysuckle Drive Hope Valley SA 5090",129500,2003-04-26,934,110," 4 Beds, 2 Baths, 2 Car Spaces, 2 Lock Up Garages",4,2,2,2,0
"Honeysuckle Drive Hope Valley SA 5090",255000,2004-03-26,804,170," 4 Beds, 2 Baths, 1 Car Spaces, 1 Lock Up Garages, 1 Ensuites",4,2,1,1,1
"Honeysuckle Drive Hope Valley SA 5090",220000,2006-08-11,1039,124," 3 Beds, 1 Baths, 1 Car Spaces, 1 Lock Up Garages",3,1,1,1,0
"Honeysuckle Drive Hope Valley SA 5090",2e+05,2004-08-08,1119,172," 4 Beds, 2 Baths, 2 Car Spaces, 1 Ensuites",4,2,2,0,1
"Honeysuckle Drive Hope Valley SA 5090",245000,2005-11-30,807,137," 3 Beds, 1 Baths, 1 Car Spaces",3,1,1,0,0
"Hoover Road Hope Valley SA 5090",271700,2004-08-25,695,100," 3 Beds, 1 Baths, 3 Car Spaces",3,1,3,0,0
"Hoover Road Hope Valley SA 5090",210000,2004-07-04,643,97," 3 Beds, 1 Baths, 2 Car Spaces",3,1,2,0,0
"Hoover Road Hope Valley SA 5090",140000,2001-03-23,628,118," 3 Beds, 2 Baths, 1 Car Spaces",3,2,1,0,0
"Hotham Street Hope Valley SA 5090",175000,2002-03-14,1300,212,"",0,0,0,0,0
"Irene Avenue Hope Valley SA 5090",246000,2004-03-18,1029,119," 3 Beds, 2 Baths, 2 Car Spaces, 1 Lock Up Garages",3,2,2,1,0
"Irene Avenue Hope Valley SA 5090",108500,2000-12-18,693,116,"",0,0,0,0,0
"Irene Avenue Hope Valley SA 5090",225000,2005-10-06,685,121," 4 Beds, 1 Baths, 2 Car Spaces, 1 Lock Up Garages",4,1,2,1,0
